#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00002.fa	contig00002	812044	813523	-	Klebsiella_pneumoniae_KpnH	21-1539/1539	========/======	84/141	92.85	69.17	card	ASTU01000063.1:61248-62787	KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00002.fa	contig00002	813848	814688	-	Klebsiella_pneumoniae_KpnG	29-871/1173	========/===...	47/88	68.03	71.90	card	ACWO01000051.1:22092-23265	KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00002.fa	contig00002	814933	815363	-	emrR	1-434/531	========/====..	18/35	78.15	75.56	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00002.fa	contig00002	872489	875500	-	oqxB	1-3119/3153	========/======	151/253	93.21	77.69	card	EU370913.1:47850-51003	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00002.fa	contig00002	875524	876595	-	oqxA	124-1176/1176	.=======/======	49/107	85.80	73.75	card	EU370913.1:46651-47827	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00003.fa	contig00003	43231	46160	-	mdtC	2-3078/3078	========/======	170/347	91.94	67.42	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00003.fa	contig00003	46201	49190	-	mdtB	5-3075/3123	========/======	157/281	92.54	68.43	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00005.fa	contig00005	237476	237765	-	Klebsiella_pneumoniae_KpnE	5-310/363	========/====..	16/24	78.79	72.58	card	AP006725.1:2483889-2484252	KpnE subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00006.fa	contig00006	104960	107966	-	acrD	1-3071/3114	========/======	120/208	94.25	71.87	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00006.fa	contig00006	304193	305756	+	yojI	1-1640/1644	========/======	83/152	92.82	65.55	card	U00096.3:2308615-2306971	YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.	peptide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	1969	2732	+	sul2	3-816/816	========/======	52/100	90.56	79.26	card	AY055428.1:21084-20268	Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.	sulfonamide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	7225	8044	+	SHV-157	1-857/861	========/======	49/95	91.87	76.30	card	JX121124:0-861	SHV-157 is a beta-lactamase.	carbapenem;cephalosporin;penam
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	160743	161570	-	TEM-217	1-860/861	========/======	40/74	93.73	85.36	card	HG934763:0-861	From the Lahey list of beta-lactamases. Not yet released. Isolated from Enterobacter cloacae	cephalosporin;monobactam;penam;penem
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	254038	254659	-	AAC(6')-Ib7	1-615/786	========/===...	30/39	76.21	85.89	card	KR091911.1:75350-74564	AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii	aminoglycoside
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	257590	258171	+	AAC(6')-IIc	1-582/582	========/======	23/28	97.59	93.29	card	AF162771:61-643	AAC(6')-IIc is an aminoglycoside acetyltransferase encoded by plasmids and integrons in E. cloacae	aminoglycoside
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	260343	260871	+	AAC(3)-IIb	280-806/810	....====/======	26/50	62.10	71.97	card	M97172:655-1465	AAC(3)-IIb is an aminoglycoside acetyltransferase in E. coli A. faecalis and S. marcescens	aminoglycoside
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	262215	263225	+	EreA2	185-1227/1227	..======/======	29/50	81.66	94.30	card	AF099140:136-1363	EreA2 is an integron-encoded erythromycin esterase that hydrolyses the drug's lactone ring. EreA2 is found in Providencia stuartii	macrolide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	263738	264546	+	sul1	5-824/840	========/======	39/69	92.86	84.45	card	JF969163:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	266691	267357	+	QnrA1	1-657/657	========/======	14/24	98.93	93.77	card	DQ831141:8921-9578	QnrA1 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae	fluoroquinolone
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00007.fa	contig00007	268985	269784	+	sul1	1-826/840	========/======	58/102	90.71	77.43	card	JF969163:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00009.fa	contig00009	151506	152661	+	mdtH	1-1175/1209	========/======	41/81	93.05	70.40	card	U00096:1125326-1124117	Multidrug resistance protein MdtH	fluoroquinolone
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00010.fa	contig00010	162166	163601	-	msbA	1-1469/1749	========/====..	65/101	80.16	73.59	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00015.fa	contig00015	83154	83544	+	H-NS	1-402/414	========/======	10/15	93.96	81.19	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00016.fa	contig00016	60257	60987	+	OXA-48	42-794/798	========/======	29/60	89.22	88.21	card	AY236073:2187-2985	OXA-48 is a beta-lactamase found in Klebsiella pneumoniae	cephalosporin;penam
